,"J-S div (O-AR, 0)","J-S div (O-PR, 0)","J-S div (O-AR, 1)","J-S div (O-PR, 1)","Pearson (O-AR, 0)","Pearson (O-PR, 0)","Pearson (O-AR, 1)","Pearson (O-PR, 1)","Spearman (O-AR, 0)","p-value (O-AR, 0)","Spearman (O-PR, 0)","p-value (O-PR, 0)","Spearman (O-AR, 1)","p-value (O-AR, 1)","Spearman (O-PR, 1)","p-value (O-PR, 1)","RBO (O-AR, 0, red)","RBO (O-PR, 0, red)","RBO (O-AR, 1, red)","RBO (O-PR, 1, red)","RBO (O-AR, 0, syn)","RBO (O-PR, 0, syn)","RBO (O-AR, 1, syn)","RBO (O-PR, 1, syn)"
106016,0.017819475673918762,0.019483257721881756,2.8327780605212736,0.05851991121740022,0.8753783617924454,0.8780601725612103,0.7216400039031016,0.7111912901031656,0.8304593328023732,0.0,0.8479740251829608,0.0,0.5882546907941876,0.0,0.5792518727380749,0.0,0.8235844302066342,0.828134084969114,0.7473594712985403,0.7468569140710161,0.7767439527907624,0.7844411765079122,0.6370219365707845,0.6315715998561219
108828,0.02474353554334284,0.022966902387403433,0.01647728063539251,0.052279545134642655,0.8680746255892945,0.8899867927544978,0.8821395184868883,0.8974697709756879,0.8831037560601501,0.0,0.9048178903687155,0.0,0.767070203962808,0.0,0.8007577434863096,0.0,0.8115666973487858,0.829361077408894,0.8213120161053538,0.8360673760307876,0.7965239549001214,0.8160754165190679,0.7060803325241439,0.7231541272095469
110411,0.018364885726489366,0.018479941033570056,0.05170824369577756,0.009222011451014572,0.853041413294175,0.866189191368915,0.8360774935907581,0.8595495256202894,0.8594310531932421,0.0,0.8717440989337638,0.0,0.8176047989441919,0.0,0.853942055693682,0.0,0.8031189817085493,0.812672698136124,0.8070130388530522,0.8221652924306986,0.8025570155217755,0.8158000823083809,0.7496394798818207,0.7803732662178526
111312,0.01970907129474677,0.11275810566895626,0.02054270107534501,0.12263391379429185,0.8850415051128876,0.8748172107019909,0.824004637068588,0.8213966408342865,0.8752565680982627,0.0,0.8663892218875688,0.0,0.8051798491671939,0.0,0.7835452804298111,0.0,0.8330879180746078,0.8288215978030034,0.7983026981541838,0.7975976909640629,0.7791980479413518,0.7771390187120387,0.7527472060320565,0.7422385059540276
111716,1.6896039184104912,1.8486973669035274,3.435458054358877,3.1017108876925805,0.6725075091056907,0.6780745090744353,0.6955124598361271,0.7290090956675909,0.5685406622296264,0.0,0.5654898453715937,0.0,0.6090190943767637,0.0,0.6238673324106931,0.0,0.7240208269169366,0.7305073335931749,0.7351079288622961,0.75519384891336,0.6400756789158681,0.6453777613969284,0.6533338361007227,0.6653347093149866
113619,0.06636881369674208,0.008665204334235718,0.005374455482760199,0.0030492053600962334,0.8349933145142535,0.8586580448680695,0.740867918169993,0.7593078222988099,0.7674057170642286,0.0,0.8110190711927627,0.0,0.5718652604426103,0.0,0.5809262093810483,0.0,0.8012656752348976,0.8215357123846636,0.7444594364854207,0.7541599998170793,0.7177562292883666,0.7481968194011999,0.6529067598685938,0.6423315192674562
113922,0.022625702257455776,0.05972688213827306,0.1056731211468297,0.02309645196327153,0.7895929505008482,0.7877101184152222,0.7490473599793637,0.7568557795869111,0.7931619335504771,0.0,0.7959358398374335,0.0,0.6640449658257985,0.0,0.6838138939125556,0.0,0.769788726859403,0.7708586543884951,0.7573641312590895,0.7649721372583379,0.7770284690882723,0.7691356479331083,0.6830051039251536,0.6908588697681969
114419,0.024918050647800432,0.005917047593962869,0.0013876215873781048,0.014759099088323761,0.8233822358144429,0.8539948867821965,0.7988416794675243,0.7981101079470315,0.8211375418695015,0.0,0.8362913397556536,0.0,0.6953466550778662,0.0,0.689731173925247,0.0,0.7984439484995838,0.8167640697403362,0.7826702720931776,0.78479970805001,0.7776268807443657,0.7799124753565773,0.682437440017156,0.6874346713778363
115320,0.005123670968175693,0.32736931811024705,0.0033113410766440975,0.28425458161544515,0.7092950202521826,0.7730529718015169,0.5555313514818458,0.5918152749079603,0.5087684142707365,0.0,0.5572880473155218,0.0,0.3442864934834597,3.842927523640303e-139,0.3531113156284526,9.322632578657936e-147,0.7273112565318621,0.753110828907036,0.6622209098701924,0.677897438262187,0.6211158178399725,0.6353563609521927,0.5869851211616176,0.5835188843761302
116524,0.03522246890624493,0.035944151785957494,0.06457885217716589,0.02334160153501868,0.772975399939186,0.8136672024849766,0.8093651404260296,0.7962359875599087,0.7633578877503154,0.0,0.8162687132267483,0.0,0.7898387881055514,0.0,0.757882429323297,0.0,0.7712414981239178,0.7906043736905951,0.7911903018555493,0.7856897724797377,0.7365878789300561,0.7619817217183705,0.7527706666205669,0.7310624104731291
